"","CNT","Country"
"1","ALB","Albania"
"2","ARE","United Arab Emirates"
"3","ARG","Argentina"
"4","AUS","Australia"
"5","AUT","Austria"
"6","BEL","Belgium"
"7","BGR","Bulgaria"
"8","BIH","Bosnia and Herzegovina"
"9","BLR","Belarus"
"10","BRA","Brazil"
"11","BRN","Brunei Darussalam"
"12","CAN","Canada"
"13","CHE","Switzerland"
"14","CHL","Chile"
"15","COL","Colombia"
"16","CRI","Costa Rica"
"17","CZE","Czech Republic"
"18","DEU","Germany"
"19","DNK","Denmark"
"20","DOM","Dominican Republic"
"21","ESP","Spain"
"22","EST","Estonia"
"23","FIN","Finland"
"24","FRA","France"
"25","GBR","United Kingdom"
"26","GEO","Georgia"
"27","GRC","Greece"
"28","HRV","Croatia"
"29","HUN","Hungary"
"30","IDN","Indonesia"
"31","IRL","Ireland"
"32","ISL","Iceland"
"33","ISR","Israel"
"34","ITA","Italy"
"35","JOR","Jordan"
"36","JPN","Japan"
"37","KAZ","Kazakhstan"
"38","KOR","South Korea"
"39","KSV","Kosovo"
"40","LBN","Lebanon"
"41","LTU","Lithuania"
"42","LUX","Luxembourg"
"43","LVA","Latvia"
"44","MAR","Morocco"
"45","MDA","Moldova"
"46","MEX","Mexico"
"47","MKD","Macedonia"
"48","MLT","Malta"
"49","MNE","Montenegro"
"50","MYS","Malaysia"
"51","NLD","Netherlands"
"52","NOR","Norway"
"53","NZL","New Zealand"
"54","PAN","Panama"
"55","PER","Peru"
"56","PHL","Phillipines"
"57","POL","Poland"
"58","PRT","Portugal"
"59","QAT","Qatar"
"60","ROU","Romania"
"61","RUS","Russia"
"62","SAU","Saudi Arabia"
"63","SGP","Singapore"
"64","SRB","Serbia"
"65","SVK","Slovakia"
"66","SVN","Slovenia"
"67","SWE","Sweden"
"68","TAP","Taiwan"
"69","THA","Thailand"
"70","TUR","Turkey"
"71","UKR","Ukraine"
"72","URY","Uruguay"
"73","USA","United States"
"74","VNM","Vietnam"
