"","Names","ALB","ARE","ARG","AUS","AUT","BEL","BGR","BIH","BLR","BRA","BRN","CAN","CHE","CHL","COL","CRI","CZE","DEU","DNK","DOM","ESP","EST","FIN","FRA","GBR","GEO","GRC","HRV","HUN","IDN","IRL","ISL","ISR","ITA","JOR","JPN","KAZ","KOR","KSV","LBN","LTU","LUX","LVA","MAR","MDA","MEX","MKD","MLT","MNE","MYS","NLD","NOR","NZL","PAN","PER","PHL","POL","PRT","QAT","ROU","RUS","SAU","SGP","SRB","SVK","SVN","SWE","TAP","THA","TUR","UKR","URY","USA","VNM"
"1","Size","6359","19277","11975","14273","6802","8475","5294","6480","5803","10691","6828","22653","5822","7621","7522","7221","7019","5451","7657","5674","35943","5316","5649","6308","13818","5572","6403","6609","5132","12098","5577","3296","6623","11785","8963","6109","19507","6650","5058","5614","6885","5230","5303","6814","5367","7299","5569","3363","6666","6111","4765","5813","6173","6270","6086","7233","5625","5932","13828","5075","7608","6136","6676","6609","5965","6401","5504","7243","8633","6890","5998","5263","4838","5377"
"2","FSize","3167","9380","6232","7075","3321","4271","2533","3148","2772","5478","3383","11307","2789","3814","3857","3618","3518","2525","3816","2890","17956","2651","2772","3078","6996","2682","3178","3311","2605","6240","2777","1656","3544","5680","4619","3120","9576","3191","2457","3079","3377","2594","2685","3262","2621","3826","2596","1612","3240","3131","2330","2880","3154","3173","3000","3868","2857","2944","6954","2444","3861","2992","3277","3272","3002","2993","2763","3624","4693","3396","2857","2732","2376","2780"
"3","MSize","3192","9897","5743","7198","3481","4204","2761","3332","3031","5213","3445","11344","3033","3807","3665","3603","3501","2926","3841","2784","17987","2665","2877","3230","6822","2890","3225","3298","2527","5858","2800","1640","3079","6105","4344","2989","9931","3459","2601","2535","3508","2636","2618","3552","2746","3473","2973","1751","3426","2980","2435","2933","3019","3097","3086","3365","2768","2988","6874","2631","3747","3144","3399","3337","2963","3408","2741","3619","3940","3494","3141","2531","2462","2597"
"4","M/F Wt Ratio","1.04208137580056","0.973115623989055","0.971874827524432","1.03360777461676","1.0305989351025","0.993760983415731","1.13147848402637","1.05050199990553","1.08351802794448","0.999331016265908","1.01961405674638","1.01560135662761","1.11212285081018","1.02565998986203","0.961034553231119","0.976335469895541","1.04489505913946","1.16338833037368","1.00180815609039","0.993594692551717","1.02554479965298","1.00097520016544","1.03861605342718","1.02731508171198","0.943699066357999","1.09066701348401","1.02883738335242","0.986862613471379","0.981550166703091","0.968580212248982","0.988646638301342","0.986989128172149","0.898965289241946","1.07204057214803","0.96509466239","0.952878100078578","1.05787095803956","1.10183922312515","0.999728629867375","0.858432221254424","1.04477512300562","1.02817397524635","0.969419602489258","1.09497352519432","1.05667224390751","0.921441466443883","1.10507805893489","1.08998656261703","1.08898976708118","0.949680837843782","1.00514618378363","1.02203975156841","1.01587190156918","0.984847043027969","1.0412494377574","0.885360440471561","0.998907782628045","1.02932013128408","1.02945459308134","1.06220972784348","0.983757862781037","1.06487636727064","1.03956371911643","1.03868102153803","0.986354313943832","1.04952122545777","1.0009221947008","1.00868267312668","0.879980512244214","1.01734833041","1.11084720947003","0.917999788044385","1.04403775900507","0.929672904198365"
"5","Mean","437.221991161354","434.947251865321","379.453816602929","491.360025242637","498.942313799593","508.070306356471","436.04057099732","406.384407914433","471.865144277411","383.56912410618","430.112962267376","512.016942823931","515.314713126144","417.406556233565","390.932273740346","402.330558607212","499.467650906247","500.043780166766","509.398374502504","325.10054663957","481.392612675476","523.41458013492","507.301361818144","495.407581444032","501.76989911392","397.586355244177","451.370343770282","464.204272711969","481.082636356244","378.668132299029","499.632894037668","495.187376173876","463.034548920455","486.58985801291","399.761909259239","526.973250496982","423.146133028156","525.933001858893","365.884946677861","393.450054210452","481.191188294563","483.421485222719","496.126330696125","367.727352665866","420.60399887257","408.801473754761","394.446829905941","471.724415048656","429.611542426079","440.207536711111","519.230982676559","500.963788355954","494.489675979207","352.846255737029","399.837674812822","352.567067100026","515.647874629692","492.487406111793","414.228717674268","429.916827074466","487.786538734327","373.238805740542","569.007779801712","448.283056298283","486.164854293562","508.897544084895","502.387702056848","531.143536453055","418.5555016796","453.507777946146","453.117498927934","417.66161727969","478.244717377205","495.675427482772"
"6","Median","436.185739964525","432.675731181059","378.26401652788","492.400956515553","503.230271087888","514.215372872866","434.362897687917","403.854225747184","472.790525729771","376.856489545478","425.113554781865","513.469861855816","518.034326464786","415.867896157145","387.40088386217","400.836746785148","500.98158285795","504.019087930848","511.485587033169","321.790732223195","484.364118215766","523.864764130338","510.400413033856","501.700108753063","503.7732385885","394.20805622026","453.541223004433","463.07899730085","484.00731345013","375.698306944491","502.041658464712","499.286225819216","468.276633718095","490.232075902054","400.23787616045","530.199200598363","422.00862136206","530.105939198963","363.89845952087","391.398319985832","482.837392788473","485.35152339547","496.58615938068","363.212257070518","419.267497094492","407.810844789198","393.551607428672","477.673630044382","428.714756815052","438.139652798141","524.312539485087","503.779476265341","495.637552660163","350.75199800659","397.182299502","349.035361750681","516.757024185963","497.285234512344","410.604640033008","428.254871838445","489.325829038614","372.108809040924","576.420480062538","445.899489048577","491.711234767439","511.008091962002","504.878338583066","536.706304744803","414.333105207408","450.186361231729","454.057359211955","418.499800936225","479.184426132685","495.657445919372"
"7","F Mean","439.727776830114","439.320269559521","371.848368383667","488.296647171672","492.200906276095","502.046829789884","436.904265904042","405.057103355608","468.608845369959","379.269456136934","433.947562158454","509.54625248018","511.596413300341","413.626757549314","381.36527504906","393.602715975528","497.671594615077","496.24632135339","507.454310588684","326.668420551636","478.135910517175","519.187026867487","510.40571203763","492.184622751844","495.85838050073","399.811432296501","451.206888200729","459.922041827557","476.717094016631","383.446724963073","496.676173671907","500.062550451783","467.386362246446","478.548682990105","402.783273076372","522.034617536026","422.482002862951","523.814004561439","363.776532478771","393.305183980399","482.453799078649","479.624474319127","492.794753924564","367.278386077557","421.670051029767","403.165629107169","398.32958939218","478.415380853535","425.316089322742","443.48121557479","518.547571749966","504.505443030846","490.021524581566","349.046437028258","391.508138149931","358.036730077752","514.948470604307","487.913088836217","426.395811443038","427.219899786713","485.457089053246","379.967787737924","566.893618836557","446.80273225938","483.90195629023","508.590193393517","503.012814060831","529.36385716791","426.031218434408","451.015096440495","449.435901906695","413.673417332256","473.846214414914","496.505643814122"
"8","F Median","439.788092117767","437.798647923887","370.537580015226","488.930455014592","498.179953742048","508.840179037565","436.167446396967","404.379903231367","469.785305563918","373.992303382532","428.966478978519","511.006220141733","514.688156225472","412.061241462436","377.89244542251","392.222600261278","500.129688077778","500.366686750039","508.782652864444","324.6535316362","481.5845830162","519.333800850043","514.111752693372","498.407718310429","497.475395845847","396.785226676158","454.330614865508","459.563243068817","480.317446448551","380.36861043777","499.271686494045","503.753405905077","472.819067412866","481.330256613881","401.950754170756","524.986492140195","421.786955057036","527.331763527092","363.102135197066","392.328085611604","484.787100709226","481.36161140481","493.976410798075","364.771572978172","420.166707811882","402.95418223981","397.675614313326","483.446699455279","424.720894369185","442.044793438088","524.009793322744","506.736603104659","491.700178039499","347.551728056133","390.344104246604","355.807120329395","515.577657406805","493.36156934907","424.532464183513","426.682380254666","486.53544876851","379.381777039709","573.496705284753","445.746643365613","491.065286242873","510.633001614575","505.736025869087","533.491384146138","422.2507444014","446.804586006681","449.160356472693","414.870184588922","473.59916363925","496.640130939852"
"9","M Mean","434.817394239319","430.453420313965","387.279359567793","494.323797522796","505.483565972367","514.131599431072","435.277237961018","407.647903423194","474.870446287595","387.871670408919","426.352127600862","514.451017261465","518.658138560747","421.091791810278","400.887169388085","411.269947680742","501.186537674311","503.307917096999","511.338929589824","323.522565271697","484.568195214048","527.638014708259","504.312432262085","498.544845511855","508.034097971301","395.546248571091","451.529217827735","468.543509831661","485.530236171011","373.734526797273","502.623568613612","490.247935466018","458.193635285558","494.090670231885","396.631269400915","532.156109627178","423.773931872768","527.856147498456","367.993933192901","393.618815618127","479.982688248684","487.114450610879","499.563002249915","368.137377728553","419.595122029875","414.917808706934","390.933268619619","465.585838634637","433.555980870941","436.760400859543","519.910894651173","497.498507607864","498.888017335768","356.704538843702","407.837234150718","346.389173072128","516.348043391563","496.931424193776","402.409746880858","432.455805222621","490.15444832795","366.919779227983","571.041480022562","449.708252299951","488.4590582843","509.190392560868","501.763165996711","532.907896377697","410.060180873298","455.957953005309","456.4317234134","422.006062669955","482.457690446764","494.782407660852"
"10","M Median","432.57112517232","426.120321140313","386.725174164704","496.015076218632","508.990080710792","519.989472304166","432.607580897539","403.200173991168","475.997590945607","380.106372199689","420.853355741459","515.878402620322","520.773856313611","419.750455805037","397.916463967965","409.856066180822","502.005897238867","507.934948312791","514.200459598795","318.831183931274","487.318037006731","528.739798617902","506.218244149369","505.003063259452","510.818659766077","392.023876346432","452.785385134284","466.630186972906","488.017891512445","370.408911567075","504.874956688506","494.311606632258","462.65598332908","499.364670425011","397.615035713217","536.481957853339","422.230318624849","532.557891790099","364.625756778829","390.302815571522","480.516262011531","489.471176202517","499.69694944409","361.855840426774","418.203323696876","413.243155313275","389.750005008334","471.164319505543","432.741483831066","433.874899836364","524.701917495143","500.723985741641","500.130844544475","354.543198212104","404.197668776936","341.393028506557","518.058218163453","501.381707195081","392.737199297777","429.716087356813","492.740388522133","364.31078398565","579.722796645033","445.948526480294","492.379168752173","511.444540826608","504.075895976124","540.211864687932","404.649709168027","453.326211520189","458.708373548783","422.528419472005","485.110553235549","494.448936007178"
