"","Names","ALB","ARE","ARG","AUS","AUT","BEL","BGR","BIH","BLR","BRA","BRN","CAN","CHE","CHL","COL","CRI","CZE","DEU","DNK","DOM","ESP","EST","FIN","FRA","GBR","GEO","GRC","HRV","HUN","IDN","IRL","ISL","ISR","ITA","JOR","JPN","KAZ","KOR","KSV","LBN","LTU","LUX","LVA","MAR","MDA","MEX","MKD","MLT","MNE","MYS","NLD","NOR","NZL","PAN","PER","PHL","POL","PRT","QAT","ROU","RUS","SAU","SGP","SRB","SVK","SVN","SWE","TAP","THA","TUR","UKR","URY","USA","VNM"
"1","Size","6359","19277","11975","14273","6802","8475","5294","6480","5803","10691","6828","22653","5822","7621","7522","7221","7019","5451","7657","5674","35943","5316","5649","6308","13818","5572","6403","6609","5132","12098","5577","3296","6623","11785","8963","6109","19507","6650","5058","5614","6885","5230","5303","6814","5367","7299","5569","3363","6666","6111","4765","5813","6173","6270","6086","7233","5625","5932","13828","5075","7608","6136","6676","6609","5965","6401","5504","7243","8633","6890","5998","5263","4838","5377"
"2","FSize","3167","9380","6232","7075","3321","4271","2533","3148","2772","5478","3383","11307","2789","3814","3857","3618","3518","2525","3816","2890","17956","2651","2772","3078","6996","2682","3178","3311","2605","6240","2777","1656","3544","5680","4619","3120","9576","3191","2457","3079","3377","2594","2685","3262","2621","3826","2596","1612","3240","3131","2330","2880","3154","3173","3000","3868","2857","2944","6954","2444","3861","2992","3277","3272","3002","2993","2763","3624","4693","3396","2857","2732","2376","2780"
"3","MSize","3192","9897","5743","7198","3481","4204","2761","3332","3031","5213","3445","11344","3033","3807","3665","3603","3501","2926","3841","2784","17987","2665","2877","3230","6822","2890","3225","3298","2527","5858","2800","1640","3079","6105","4344","2989","9931","3459","2601","2535","3508","2636","2618","3552","2746","3473","2973","1751","3426","2980","2435","2933","3019","3097","3086","3365","2768","2988","6874","2631","3747","3144","3399","3337","2963","3408","2741","3619","3940","3494","3141","2531","2462","2597"
"4","M/F Wt Ratio","1.04208137580056","0.973115623989055","0.971874827524432","1.03360777461676","1.0305989351025","0.993760983415731","1.13147848402637","1.05050199990553","1.08351802794448","0.999331016265908","1.01961405674638","1.01560135662761","1.11212285081018","1.02565998986203","0.961034553231119","0.976335469895541","1.04489505913946","1.16338833037368","1.00180815609039","0.993594692551717","1.02554479965298","1.00097520016544","1.03861605342718","1.02731508171198","0.943699066357999","1.09066701348401","1.02883738335242","0.986862613471379","0.981550166703091","0.968580212248982","0.988646638301342","0.986989128172149","0.898965289241946","1.07204057214803","0.96509466239","0.952878100078578","1.05787095803956","1.10183922312515","0.999728629867375","0.858432221254424","1.04477512300562","1.02817397524635","0.969419602489258","1.09497352519432","1.05667224390751","0.921441466443883","1.10507805893489","1.08998656261703","1.08898976708118","0.949680837843782","1.00514618378363","1.02203975156841","1.01587190156918","0.984847043027969","1.0412494377574","0.885360440471561","0.998907782628045","1.02932013128408","1.02945459308134","1.06220972784348","0.983757862781037","1.06487636727064","1.03956371911643","1.03868102153803","0.986354313943832","1.04952122545777","1.0009221947008","1.00868267312668","0.879980512244214","1.01734833041","1.11084720947003","0.917999788044385","1.04403775900507","0.929672904198365"
"5","Mean","405.429366278381","431.78176943112","401.503108807317","502.63172442266","484.392568511997","492.864438603842","419.844005964249","402.977821260903","473.788446933152","412.873316685249","408.069944019334","520.085520926521","483.929405145339","452.27255409198","412.295085675563","426.498225007361","490.218815026372","498.279256429592","501.129933774048","341.625620743964","476.537441635848","523.017018425265","520.078748316689","492.606481334553","503.928109206045","379.752540646346","457.414394703693","478.989152395076","475.986672245033","370.965381846226","518.078459119394","473.974316767345","470.415177979244","476.284679692667","419.063660710194","503.856041309186","386.909274699556","514.052287958269","353.065432540458","353.355316430011","475.873479608212","469.985389363179","478.698674145046","359.387886216686","423.992965737887","420.468892771172","392.667769403083","448.234760109868","421.057573198021","414.979514206286","484.783725370566","499.450956276384","505.727283443831","376.971316661976","400.51370593417","339.691589979014","511.855695357732","491.800785136834","407.091792090257","427.703145850645","478.501933994944","399.151658578592","549.464707794461","439.466341206059","457.983967040748","495.345615126036","505.785220598165","502.601146902421","392.888640988081","465.631666498609","465.950148140292","427.11761819835","505.352771050068","504.505626391363"
"6","Median","403.093708769643","428.49317762087","402.060522304972","507.325099706497","488.132252734813","497.592131359876","415.496451429034","399.511742502047","475.410326848953","407.582106817719","402.737758599018","524.067888102189","488.056876299171","453.079274718378","407.659895347224","424.313088696949","491.563544609033","503.782653857088","504.395580319146","334.049058433863","479.20439773295","523.694999913835","526.883406679201","496.899682964707","506.288718044318","374.257944726794","459.713260964429","480.468476896135","479.037817992068","366.772387443389","519.935499526938","477.425097844085","478.542421920809","481.332547211204","426.216039148454","507.828404309188","380.345472124153","521.990428665704","351.595147064912","346.971119963496","478.901129998913","471.527811310337","480.466824936449","355.174191323004","425.236138196451","418.620956813237","394.701985291769","451.602296278169","419.975187489504","416.622559799466","486.388572679793","506.10830749824","510.94443172446","374.215709762646","397.055071005139","327.049308011865","514.517108307414","497.161433365752","404.827831334817","431.23144701747","479.728100839367","402.183717456978","558.793391134725","439.842747088788","457.478471627143","498.835419640984","511.496150946787","507.733184438224","387.940817029182","465.849638289321","471.776123081003","427.374112020164","509.700145227608","505.152122256219"
"7","F Mean","424.622692893042","459.76728191287","409.414080880783","518.5720840111","498.652688459726","503.687234727249","441.256783354017","418.17613023497","485.618047194897","425.71064817308","423.082610367259","534.669187022361","500.035214169012","462.302439817638","417.356222078505","433.603075532386","507.180001316265","512.208992041903","515.81434232822","357.114971288062","489.79517078956","538.352885141767","546.341708143057","505.223674818828","513.699024996638","399.472084892405","478.786282290375","495.322008247776","489.107893220766","383.432731143398","529.62490239823","494.146417749358","493.20375716413","489.082704137511","444.155644400536","513.82050431233","400.728598911844","526.406274343338","365.67739009142","366.325683529881","495.628341621994","484.813844757237","494.844375425937","372.930830988147","444.598528320843","425.800462677649","419.779745838217","473.550171714865","436.826398545333","427.706979455638","499.245394652416","523.197443033712","520.26237440767","384.103805972385","405.878946949624","352.319484261375","528.243352578448","504.103460148082","440.249474196226","445.164070095542","491.021511814962","427.166081521644","561.293509335444","457.91009072369","475.07977770816","516.711050625206","522.955079748113","513.597723632162","411.108620232763","478.380324821023","483.558511812319","438.125089011239","517.380864070498","513.864131160722"
"8","F Median","422.852596815455","455.305090999232","408.801629865806","522.327438003062","502.899243101805","509.269950813899","439.024600761372","417.149828442769","486.537166716709","421.956653823287","418.209392073002","537.644200480573","503.183552121889","462.781084197774","411.618766842984","430.716302020516","509.235366171217","517.988227241298","517.338860605073","352.26992041988","492.331335403519","539.446618440647","551.554637611412","509.990243276214","514.825402256044","394.613373235893","481.280617157625","496.36167750763","492.190506432142","379.707912027149","531.196084683742","496.96623190682","499.166570388664","492.551420770714","448.371384194751","516.083804991248","394.786012230192","532.655030763521","364.880857968871","362.493411184192","498.882697720872","485.124167533552","496.844064337264","369.864899147413","446.484881611827","424.292990662253","423.426739001935","474.629879692188","435.509969602839","430.896358937173","502.206739680712","528.169775382756","524.114907970927","382.124707218515","405.100440340549","342.295875658911","530.4341130448","509.311030861523","436.534512653712","448.8850823374","490.944409158911","430.24444375258","568.566794036493","457.799106741523","476.79747956383","519.225100663503","529.080544714333","517.17733648559","405.880969527233","478.071441303412","487.67396731311","438.982272256593","521.198884126163","513.599452631977"
"9","M Mean","387.011105420474","403.0230980134","393.363200406132","487.209665901138","470.555837789672","481.973694950164","400.919406255052","388.510158205113","462.870677263748","400.027391482409","393.346072522476","505.726865157686","469.447363874503","442.493596323522","407.028743913005","419.221166307665","473.986384657852","486.305837710635","486.472028999666","326.036416554157","463.609942848668","507.696092678086","494.792253139085","480.324763963823","493.574262159973","361.672279666354","436.641541838411","462.438869073219","462.618816560381","358.093604021833","506.399419479229","453.536299360434","445.065390331602","464.346675873277","393.064155513261","493.39881388175","373.845938281003","502.840138194686","340.450051551884","338.245949867655","456.965236505188","455.56326261123","462.043655782067","347.019601084809","404.492536251107","414.682773847033","368.133777242145","425.009325528165","406.57734039512","401.577679882398","470.396097466122","476.216550059907","491.419287581964","369.729086144149","395.361010700057","325.428591876643","495.450119682265","479.84855119393","374.882812375356","411.264843896522","465.775654192082","372.843982115778","538.086086817733","421.709446514442","440.651644947427","474.988298874665","488.631180812805","491.699227971213","372.183660603667","453.100404647248","450.098855971652","415.126906483332","493.832025831148","494.439177506927"
"10","M Median","382.333902976087","392.873258163416","394.666000674265","491.344436884195","471.891419466877","485.199192637719","393.114190014889","382.668153681439","463.462774760917","391.939549494547","384.371824410967","509.042164692049","473.684928215178","441.752017281206","402.775033716489","417.504447549238","473.387640956779","491.448439483799","490.261046961485","315.799969428247","465.965100814208","507.499403528381","499.671305953014","483.572146704565","496.641709120688","355.046144217151","436.679702239914","462.621281134291","464.022667344755","352.84113285725","508.1709523575","454.680037834058","447.705787161475","469.716149207822","399.029065644007","498.17566854218","365.354436138948","510.83000319015","336.264330740137","326.914188509708","456.958243852744","457.561089759269","461.540770947323","339.689133892948","403.566580564507","412.221237257819","368.697600453167","424.372553211797","403.490022304867","400.709415757741","470.44244789445","480.877288710338","496.028341348656","364.839875865616","388.753012971691","310.54690117659","496.595510112287","484.110407201737","361.946173272745","412.875448145586","466.710828367448","372.34568342631","549.857092018517","420.41550996704","437.888403502438","476.814602533406","492.650502721399","497.70565386523","364.604222128167","452.220559343608","455.579645008783","413.939339183023","498.584466156285","495.28721671749"
