CNT,GGGI,Econ,Educ,Surv,Poli
ALB,.769,.743,.999,.958,.376
ARE,.655,.472,.987,.972,.191
ARG,.746,.623,.995,.980,.387
AUS,.731,.722,1,.971,.231
AUT,.744,.659,1,.974,.344
BEL,.750,.714,1,.973,.313
BGR,.727,.715,.989,.979,.225
BIH,.712,.614,.967,.976,.290
BLR,.746,.837,.999,.977,.172
BRA,.691,.653,1,.980,.133
BRN,.686,.752,.992,.969,.031
CAN,.772,.751,1,.971,.365
CHE,.779,.746,.992,.970,.407
CHL,.723,.608,1,.977,.307
COL,.758,.735,1,.980,.318
CRI,.782,.607,1,.977,.545
CZE,.706,.657,1,.980,.189
DEU,.787,.723,.972,.973,.477
DNK,.782,.735,1,.971,.421
DOM,.700,.660,.998,.980,.163
ESP,.795,.681,.998,.972,.527
EST,.751,.736,1,.974,.294
FIN,.832,.788,1,.977,.563
FRA,.781,.691,1,.974,.459
GBR,.767,.704,.999,.970,.396
GEO,.708,.701,1,.976,.154
GRC,.701,.675,.993,.971,.164
HRV,.720,.674,.995,.979,.232
HUN,.677,.672,.993,.980,.065
IDN,.700,.685,.970,.974,.172
IRL,.798,.732,.998,.970,.493
ISL,.877,.839,.999,.968,.701
ISR,.718,.688,1,.971,.214
ITA,.707,.595,.997,.969,.267
JOR,.623,.408,.991,.971,.121
JPN,.652,.598,.983,.979,.049
KAZ,.710,.742,.995,.975,.130
KOR,.672,.555,.973,.980,.179
KSV,,,,,
LBN,.599,.442,.964,.967,.024
LTU,.745,.795,.998,.979,.207
LUX,.725,.721,1,.972,.206
LVA,.785,.810,1,.975,.355
MAR,.605,.405,.956,.963,.095
MDA,.757,.788,.996,.980,.264
MEX,.754,.574,.997,.979,.468
MKD,.711,.635,.988,.973,.248
MLT,.693,.621,1,.969,.184
MNE,.710,.712,.998,.971,.161
MYS,.677,.639,.989,.974,.108
NLD,.736,.702,1,.968,.276
NOR,.842,.798,1,.972,.598
NZL,.799,.753,1,.970,.474
PAN,.730,.725,.994,.980,.222
PER,.714,.652,.981,.977,.247
PHL,.781,.792,.999,.979,.353
POL,.736,.711,.996,.980,.256
PRT,.744,.726,.992,.978,.278
QAT,.629,.512,.990,.961,.052
ROU,.724,.728,.997,.980,.190
RUS,.706,.749,1,.980,.095
SAU,.599,.375,.983,.963,.077
SGP,.724,.782,.990,.965,.159
SRB,.736,.700,.997,.971,.276
SVK,.718,.663,1,.980,.231
SVN,.743,.797,1,.980,.196
SWE,.820,.790,.996,.969,.525
TAP,,,,,
THA,.708,.776,.991,.978,.086
TUR,.635,.478,.961,.976,.124
UKR,.721,.737,1,.978,.171
URY,.737,.696,1,.980,.274
USA,.724,.756,1,.976,.164
VNM,.700,.751,.982,.942,.123
